district,city,wilaya
Rouached,Rouached,Mila
Derrahi Bousselah,Bouhatem,Mila
Zeghaia,Oued Endja,Mila
Oued Endja,Oued Endja,Mila
Ahmed Rachedi,Oued Endja,Mila
Tadjenanet,Tadjenanet,Mila
Ain Mellouk,Chelghoum Laid,Mila
Ouled Khalouf,Tadjenanet,Mila
Benyahia Abderrahmane,Tadjenanet,Mila
Teleghma,Teleghma,Mila
Oued Seguen,Teleghma,Mila
Oued Athmenia,Chelghoum Laid,Mila
Ain Tine,Mila,Mila
Chelghoum Laid,Chelghoum Laid,Mila
Yahia Beniguecha,Ferdjioua,Mila
Ferdjioua,Ferdjioua,Mila
Sidi Khelifa,Mila,Mila
Mila,Mila,Mila
Bouhatem,Bouhatem,Mila
Khemis-Miliana,Khemis,Aïn Defla
Sidi-Lakhdar,Khemis,Aïn Defla
Ain-Benian,Hammam Righa,Aïn Defla
Ain-Torki,Hammam Righa,Aïn Defla
Hammam-Righa,Hammam Righa,Aïn Defla
Bourached,Djelida,Aïn Defla
Hoceinia,Boumedfaa,Aïn Defla
Djelida,Djelida,Aïn Defla
Arib,El Amra,Aïn Defla
Djemaa Ouled Cheikh,Djelida,Aïn Defla
El-Amra,El Amra,Aïn Defla
El-Attaf,El Attaf,Aïn Defla
Tiberkanine,El Attaf,Aïn Defla
Ain-Bouyahia,El Abadia,Aïn Defla
El-Abadia,El Abadia,Aïn Defla
Tacheta Zegagha,El Abadia,Aïn Defla
Birbouche,Djendel,Aïn Defla
Djendel,Djendel,Aïn Defla
Ben Allal,Miliana,Aïn Defla
Oued Chorfa,Djendel,Aïn Defla
Boumedfaa,Boumedfaa,Aïn Defla
Ain-Lechiakh,Ain Lechiakh,Aïn Defla
Ain-Soltane,Ain Lechiakh,Aïn Defla
Oued Djemaa,Ain Lechiakh,Aïn Defla
El-Maine,Rouina,Aïn Defla
Rouina,Rouina,Aïn Defla
Zeddine,Rouina,Aïn Defla
Bir-Ould-Khelifa,Bordj El Emir Khaled,Aïn Defla
Bordj-Emir-Khaled,Bordj El Emir Khaled,Aïn Defla
Tarik-Ibn-Ziad,Bordj El Emir Khaled,Aïn Defla
Bathia,Bathia,Aïn Defla
Belaas,Bathia,Aïn Defla
Hassania,Bathia,Aïn Defla
Ain-Defla,Ain Defla,Aïn Defla
Miliana,Miliana,Aïn Defla
Mekhatria,El Amra,Aïn Defla
Tiout,Ain Sefra,Naâma
Moghrar,Moghrar,Naâma
Asla,Asla,Naâma
Kasdir,Mekmen Ben Amar,Naâma
Makmen Ben Amar,Mekmen Ben Amar,Naâma
Ain Sefra,Ain Sefra,Naâma
Mecheria,Mecheria,Naâma
El Biodh,Mecheria,Naâma
Ain Ben Khelil,Mecheria,Naâma
Naama,Naama,Naâma
Djenienne Bourezg,Moghrar,Naâma
Sfissifa,Sfissifa,Naâma
Sidi Boumediene,Ain Larbaa,Aïn Témouchent
Tamzoura,Ain Larbaa,Aïn Témouchent
Chaabat El Ham,El Maleh,Aïn Témouchent
El Maleh,El Maleh,Aïn Témouchent
Ouled Kihal,El Maleh,Aïn Témouchent
Chentouf,Hammam Bou Hadjar,Aïn Témouchent
Terga,El Maleh,Aïn Témouchent
Oued Sebbah,Ain Larbaa,Aïn Témouchent
El Amria,El Amria,Aïn Témouchent
Hassi El Ghella,El Amria,Aïn Témouchent
Ouled Boudjemaa,El Amria,Aïn Témouchent
Aghlal,Ain Kihel,Aïn Témouchent
Ain Kihal,Ain Kihel,Aïn Témouchent
Ain Tolba,Ain Kihel,Aïn Témouchent
Aoubellil,Ain Kihel,Aïn Témouchent
Beni Saf,Beni Saf,Aïn Témouchent
Hassasna,Hammam Bou Hadjar,Aïn Témouchent
Emir Abdelkader,Beni Saf,Aïn Témouchent
Sidi Safi,Beni Saf,Aïn Témouchent
Oulhaca El Gheraba,Oulhassa Gheraba,Aïn Témouchent
Sidi Ouriache,Oulhassa Gheraba,Aïn Témouchent
Ain El Arbaa,Ain Larbaa,Aïn Témouchent
El Messaid,El Amria,Aïn Témouchent
Oued Berkeche,Hammam Bou Hadjar,Aïn Témouchent
Sidi Ben Adda,Ain Temouchent,Aïn Témouchent
Ain Temouchent,Ain Temouchent,Aïn Témouchent
Bouzedjar,El Amria,Aïn Témouchent
Hammam Bou Hadjar,Hammam Bou Hadjar,Aïn Témouchent
Dhayet Bendhahoua,Dhayet Ben Dhahoua,Ghardaïa
Mansoura,Mansourah,Ghardaïa
El Atteuf,Bounoura,Ghardaïa
Bounoura,Bounoura,Ghardaïa
Zelfana,Zelfana,Ghardaïa
El Guerrara,El Guerrara,Ghardaïa
Sebseb,Metlili,Ghardaïa
Metlili,Metlili,Ghardaïa
Berriane,Berriane,Ghardaïa
Ghardaia,Ghardaia,Ghardaïa
El-Guettar,Mazouna,Relizane
Ouled Aiche,Ammi Moussa,Relizane
Beni Dergoun,Zemmoura,Relizane
Dar Ben Abdelah,Zemmoura,Relizane
Zemmoura,Zemmoura,Relizane
Djidiouia,Djidiouia,Relizane
Hamri,Djidiouia,Relizane
Belaassel Bouzagza,El Matmar,Relizane
El-Matmar,El Matmar,Relizane
Sidi Khettab,El Matmar,Relizane
Sidi M'hamed Benaouda,El Matmar,Relizane
Ain-Tarek,Ain Tarek,Relizane
Had Echkalla,Ain Tarek,Relizane
El Ouldja,Ammi Moussa,Relizane
Mazouna,Mazouna,Relizane
Ain Rahma,Yellel,Relizane
Kalaa,Yellel,Relizane
Sidi Saada,Yellel,Relizane
Yellel,Yellel,Relizane
Souk El Had,Ramka,Relizane
Mendes,Mendes,Relizane
Oued Essalem,Mendes,Relizane
Sidi Lazreg,Mendes,Relizane
Ammi Moussa,Ammi Moussa,Relizane
Ouarizane,Oued Rhiou,Relizane
Merdja Sidi Abed,Oued Rhiou,Relizane
Ouled Sidi Mihoub,Djidiouia,Relizane
Bendaoud,Relizane,Relizane
Oued-Rhiou,Oued Rhiou,Relizane
El Hassi,Ammi Moussa,Relizane
Sidi M'hamed Benali,Sidi M'hamed Ben Ali,Relizane
Mediouna,Sidi M'hamed Ben Ali,Relizane
Beni Zentis,Sidi M'hamed Ben Ali,Relizane
Oued El Djemaa,El H'madna,Relizane
Lahlef,Oued Rhiou,Relizane
Relizane,Relizane,Relizane
El H'madna,El H'madna,Relizane
Ramka,Ramka,Relizane
Tinerkouk,Tinerkouk,Timimoun
Timimoun,Timimoun,Timimoun
Ouled Said,Timimoun,Timimoun
Metarfa,Aougrout,Timimoun
Talmine,Charouine,Timimoun
Ouled Aissa,Charouine,Timimoun
Charouine,Charouine,Timimoun
Aougrout,Aougrout,Timimoun
Deldoul,Aougrout,Timimoun
Ksar Kaddour,Tinerkouk,Timimoun
Timiaouine,Bordj Badji Mokhtar,Bordj Badji Mokhtar
Bordj Badji Mokhtar,Bordj Badji Mokhtar,Bordj Badji Mokhtar
Ras El Miad,Sidi Khaled,Ouled Djellal
Besbes,Sidi Khaled,Ouled Djellal
Sidi Khaled,Sidi Khaled,Ouled Djellal
Doucen,Ouled Djellal,Ouled Djellal
Chaiba,Ouled Djellal,Ouled Djellal
Ouled Djellal,Ouled Djellal,Ouled Djellal
Beni-Abbes,Beni Abbes,Béni Abbès
Tamtert,Beni Abbes,Béni Abbès
Igli,Igli,Béni Abbès
El Ouata,El Ouata,Béni Abbès
Ouled-Khodeir,Ouled Khodeir,Béni Abbès
Kerzaz,Kerzaz,Béni Abbès
Timoudi,Kerzaz,Béni Abbès
Ksabi,Ouled Khodeir,Béni Abbès
Beni-Ikhlef,Kerzaz,Béni Abbès
Inghar,In Ghar,In Salah
Ain Salah,In Salah,In Salah
Foggaret Ezzoua,In Salah,In Salah
Tin Zouatine,Tin Zouatine,In Guezzam
Ain Guezzam,In Guezzam,In Guezzam
Temacine,Temacine,Touggourt
Sidi Slimane,Megarine,Touggourt
Megarine,Megarine,Touggourt
Nezla,Touggourt,Touggourt
Blidet Amor,Temacine,Touggourt
Tebesbest,Touggourt,Touggourt
Touggourt,Touggourt,Touggourt
Taibet,Taibet,Touggourt
El Alia,El-Hadjira,Touggourt
El-Hadjira,El-Hadjira,Touggourt
Benaceur,Taibet,Touggourt
M'naguer,Taibet,Touggourt
Zaouia El Abidia,Touggourt,Touggourt
Djanet,Djanet,Djanet
Bordj El Haouass,Djanet,Djanet
Oum Touyour,El Meghaier,El Meghaier
Sidi Amrane,Djamaa,El Meghaier
M'rara,Djamaa,El Meghaier
Djamaa,Djamaa,El Meghaier
Tenedla,Djamaa,El Meghaier
El-M'ghaier,El Meghaier,El Meghaier
Still,El Meghaier,El Meghaier
Sidi Khelil,El Meghaier,El Meghaier
El Meniaa,El Menia,El Menia
Hassi Gara,El Menia,El Menia
Hassi Fehal,Mansourah,El Menia
